Pub/Sub CoEAs Result
Eksperimen ke-, Total, Rata-rata, Std Dev
1, 104, 26, 1
2, 104, 26, 1
3, 104, 26, 2
4, 104, 26, 1
5, 104, 26, 1
6, 104, 26, 1
7, 104, 26, 2
8, 104, 26, 2
9, 104, 26, 0
10, 104, 26, 1
11, 104, 26, 2
12, 104, 26, 1
13, 104, 26, 1
14, 104, 26, 2
15, 104, 26, 1
16, 104, 26, 1
17, 104, 26, 1
18, 104, 26, 1
19, 104, 26, 2
20, 104, 26, 1
21, 104, 26, 1
22, 104, 26, 1
23, 104, 26, 1
24, 104, 26, 3
25, 104, 26, 7
26, 104, 26, 1
27, 104, 26, 2
28, 104, 26, 4
29, 104, 26, 7
30, 104, 26, 5
31, 104, 26, 1
32, 104, 26, 3
33, 104, 26, 4
34, 104, 26, 2
35, 104, 26, 6
36, 104, 26, 2
37, 104, 26, 5
38, 104, 26, 3
39, 104, 26, 1
40, 104, 26, 4
41, 104, 26, 2
42, 104, 26, 4
43, 104, 26, 7
44, 104, 26, 4
45, 104, 26, 4
46, 104, 26, 6
47, 104, 26, 4
48, 104, 26, 10
49, 104, 26, 3
50, 104, 26, 2
51, 104, 26, 2
52, 104, 26, 5
53, 104, 26, 3
54, 104, 26, 3
55, 104, 26, 3
56, 104, 26, 5
57, 104, 26, 1
58, 104, 26, 3
59, 104, 26, 4
60, 104, 26, 3
61, 104, 26, 1
62, 104, 26, 3
63, 104, 26, 5
64, 104, 26, 4
65, 104, 26, 4
66, 104, 26, 4
67, 104, 26, 3
68, 104, 26, 4
69, 104, 26, 1
70, 104, 26, 3
71, 104, 26, 2
72, 104, 26, 3
73, 104, 26, 3
74, 104, 26, 1
75, 104, 26, 4
76, 104, 26, 3
77, 104, 26, 6
78, 104, 26, 3
79, 104, 26, 1
80, 104, 26, 5
81, 104, 26, 2
82, 104, 26, 4
83, 104, 26, 3
84, 104, 26, 6
85, 104, 26, 5
86, 72, 18, 5
