[2016-05-11 11:13:36,984] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:13:37,367] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:13:37,386] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:13:37,392] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/religion/id/1/ HTTP/1.1" 200 38
[2016-05-11 11:13:37,394] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:13:37,399] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/marital/id/2/ HTTP/1.1" 200 62
[2016-05-11 11:13:37,400] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:13:37,406] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/relationship/id/1/ HTTP/1.1" 200 72
[2016-05-11 11:13:37,407] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:13:37,413] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/village/prov/32/regency/74/subdistrict/01/id/1001/ HTTP/1.1" 200 119
[2016-05-11 11:13:37,414] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:13:37,420] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/subdistrict/prov/32/regency/74/id/01/ HTTP/1.1" 200 95
[2016-05-11 11:13:37,421] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/population/list/kk/1234/ HTTP/1.1" 200 828
[2016-05-11 11:13:37,423] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:13:37,428] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/village/prov/32/regency/74/subdistrict/01/id/1001/ HTTP/1.1" 200 119
[2016-05-11 11:13:37,429] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:13:37,433] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/subdistrict/prov/32/regency/74/id/01/ HTTP/1.1" 200 95
[2016-05-11 11:13:37,435] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
[2016-05-11 11:13:37,440] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:387} DEBUG - "GET /api/master/regency/prov/32/id/74/ HTTP/1.1" 200 77
[2016-05-11 11:13:37,442] {/var/www/bandung-service-catalog-wsgi/env/lib/python2.7/site-packages/requests/packages/urllib3/connectionpool.py:207} INFO - Starting new HTTP connection (1): wsgi.bandung-city.tk
